budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count
195000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",81005.0,tt1351685,en,Jack the Giant Slayer,30.583000000000002,2013-02-27,197687603.0,114.0,Jack the Giant Slayer,5.7,3911.0
25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",7191.0,tt1060277,en,Cloverfield,31.324,2008-01-15,170764026.0,85.0,Cloverfield,6.6,5010.0
15100000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",419831.0,tt4547194,en,I Kill Giants,36.888000000000005,2018-01-21,0.0,106.0,I Kill Giants,6.1,823.0
0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10770, 'name': 'TV Movie'}]",746764.0,tt13085760,en,Wild Card: The Downfall of a Radio Loudmouth,31.474,2020-10-07,0.0,76.0,Wild Card: The Downfall of a Radio Loudmouth,7.0,2.0
20000000.0,"[{'id': 878, 'name': 'Science Fiction'}]",396806.0,tt5397194,en,Anon,32.132,2018-05-03,0.0,100.0,Anon,5.9,990.0
49000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",500682.0,tt1860242,en,The Highwaymen,37.417,2019-03-15,0.0,133.0,The Highwaymen,6.7,1224.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",483455.0,tt8391976,ja,文豪ストレイドッグス DEAD APPLE,35.259,2018-03-03,0.0,90.0,Bungo Stray Dogs: Dead Apple,8.2,57.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",609681.0,tt10676048,en,Captain Marvel 2,31.340999999999998,2022-07-06,0.0,0.0,Captain Marvel 2,0.0,0.0
900000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",11811.0,tt0107387,en,Leprechaun,30.608,1993-01-08,8556940.0,92.0,Leprechaun,5.5,409.0
30000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",413644.0,tt5715410,en,The Son of Bigfoot,37.387,2017-07-26,46372519.0,92.0,The Son of Bigfoot,6.6,282.0
32679734.0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",339259.0,tt3296908,en,The Man with the Iron Heart,29.871,2017-05-25,4412639.0,120.0,The Man with the Iron Heart,6.4,431.0
72000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",197.0,tt0112573,en,Braveheart,32.356,1995-05-24,210000000.0,178.0,Braveheart,7.9,7008.0
